EHE22_15940	ENOG4107J65_38	88.9	289	32	0	10	876	5	293	8.1e-103	377.9

EHE22_15945	ENOG4106IDI_1	100.0	25	0	0	3	77	8	32	3.0e-06	53.5

EHE22_15950	ENOG41078IK_1	66.2	80	26	1	240	4	1	80	2.7e-21	105.1

EHE22_15955	ENOG4105MGM_75	66.9	127	41	1	387	10	3	129	4.7e-39	164.9

EHE22_15970	ENOG4107TE5_185	82.7	294	51	0	1	882	1	294	7.0e-139	497.7

EHE22_15975	ENOG4105K6T_694	73.6	409	91	5	49	1230	15	421	5.5e-166	588.2

EHE22_15980	ENOG4105DZ1_982	72.5	396	107	1	1	1182	1	396	6.9e-158	561.2

EHE22_15985	ENOG4108ZMD_382	81.8	214	39	0	1	642	5	218	1.5e-93	346.7

EHE22_15990	ENOG4107QRG_316	81.2	357	67	0	1	1071	1	357	9.3e-170	600.5

EHE22_15995	ENOG4105CKH_558	93.2	515	35	0	1	1545	1	515	1.9e-285	985.3

EHE22_16000	ENOG4105F8V_1062	87.4	262	33	0	1	786	2	263	5.7e-132	474.6

EHE22_16005	ENOG4105DNY_310	85.1	269	40	0	10	816	6	274	2.9e-139	498.8

EHE22_16010	ENOG4105BZ1_5487	90.8	600	51	1	1806	7	1	596	1.2e-302	1042.7

EHE22_16015	ENOG4105EI2_925	91.1	326	29	0	1	978	1	326	3.4e-179	631.7

EHE22_16020	ENOG4105F1W_28	83.7	307	50	0	1	921	1	307	1.1e-145	520.4

EHE22_16025	ENOG4108UKG_45	80.4	219	43	0	1	657	17	235	2.2e-100	369.4

EHE22_16030	ENOG4106EX7_70	76.2	260	62	0	1	780	1	260	6.7e-109	397.9

EHE22_16035	ENOG4105C5F_408	94.5	469	26	0	1410	4	1	469	2.7e-270	934.9

EHE22_16040	ENOG4108YZA_1223	99.1	112	1	0	339	4	1	112	7.7e-54	213.8

EHE22_16045	ENOG4105DR1_952	72.2	500	138	1	1	1500	1	499	6.2e-204	714.5

EHE22_16055	ENOG4108VXP_409	87.6	233	29	0	702	4	1	233	2.8e-114	415.6

EHE22_16060	ENOG4105E66_692	91.8	231	19	0	1	693	26	256	1.9e-102	376.3

EHE22_16065	ENOG4105T8B_21	91.2	181	13	1	1	543	1	178	5.6e-78	294.7

EHE22_16070	ENOG4105DC8_622	89.2	464	50	0	1	1392	1	464	1.2e-241	839.7

EHE22_16075	ENOG4105C7V_396	96.7	459	15	0	1	1377	1	459	3.1e-266	921.4

EHE22_16080	ENOG41080IJ_228	70.4	115	34	0	1	345	5	119	3.2e-34	148.7

EHE22_16085	ENOG4105C4K_231	88.9	559	62	0	1	1677	3	561	1.5e-294	1015.8

EHE22_16090	ENOG4105C20_917	85.3	455	67	0	1	1365	1	455	9.3e-231	803.5

EHE22_16095	ENOG4105C6K_1176	95.0	767	37	1	2313	13	20	785	0.0e+00	1404.8

EHE22_16100	ENOG4105BZN_1234	72.1	358	99	1	1	1071	1	358	4.6e-148	528.5

EHE22_16105	ENOG4105E9D_264	84.6	285	41	1	1	846	1	285	1.9e-141	506.1

EHE22_16110	ENOG4105BZF_511	77.9	353	78	0	1	1059	1	353	6.2e-166	587.8

EHE22_16115	ENOG4107S8C_222	88.0	326	39	0	981	4	1	326	1.2e-158	563.5

EHE22_16120	ENOG4105CY3_468	85.7	391	56	0	1	1173	1	391	8.9e-174	614.0

EHE22_16125	ENOG4105DHJ_551	87.8	286	34	1	1	858	3	287	1.3e-137	493.4

EHE22_16130	ENOG4108SNX_151	95.2	331	16	0	1	993	1	331	2.3e-170	602.4

EHE22_16135	ENOG41090D7_32	78.5	209	45	0	1	627	1	209	1.1e-90	337.0

EHE22_16140	ENOG4105D2U_62	81.0	1624	237	6	4872	4	1	1553	2.4e-212	744.2

EHE22_16145	ENOG4107Z7P_204	93.5	107	7	0	1	321	1	107	2.8e-53	211.8

EHE22_16150	ENOG4105CAY_138	64.1	192	69	0	10	585	4	195	4.0e-69	265.4

EHE22_16155	ENOG4105J4W_8	83.3	204	33	1	615	4	1	203	2.4e-90	335.9

EHE22_16160	ENOG4105EEI_1220	77.0	278	64	0	1	834	1	278	3.8e-118	428.7

EHE22_16165	ENOG4105KRF_167	90.8	119	11	0	1	357	16	134	4.2e-58	228.0

EHE22_16170	ENOG4105K8U_222	77.6	174	39	0	1	522	1	174	2.1e-77	292.7

EHE22_16175	ENOG4108V0W_7	87.6	177	22	0	534	4	15	191	7.3e-83	310.8

EHE22_16180	ENOG4106K28_103	84.4	358	53	1	1092	19	1	355	5.0e-163	578.2

EHE22_16185	ENOG4105CM6_241	91.2	486	43	0	1461	4	1	486	9.5e-258	893.3

EHE22_16190	ENOG4105M4E_69	74.4	164	42	0	501	10	1	164	1.4e-64	250.0

EHE22_16195	ENOG4108V7X_272	98.6	138	2	0	1	414	1	138	3.3e-70	268.5

EHE22_16200	ENOG4105XYP_7	64.2	433	127	8	1248	7	1	424	1.5e-83	314.3

EHE22_16205	ENOG4105BZU_20131	91.6	857	71	1	1	2568	2	858	0.0e+00	1525.4

EHE22_16210	ENOG4105N0C_73	72.1	401	112	0	1	1203	1	401	2.3e-169	599.4

EHE22_16215	ENOG4107UKF_52	63.4	440	161	0	1	1320	1	440	1.4e-159	567.0

EHE22_16220	ENOG4105CUY_133	79.7	403	82	0	1242	34	1	403	8.8e-180	634.0

EHE22_16225	ENOG4105XSK_20	73.1	175	45	1	591	73	1	175	2.3e-61	239.6

EHE22_16230	ENOG4108XHI_14	28.6	619	421	11	1818	7	1	613	1.4e-64	251.9

EHE22_16235	ENOG4108YG1_22	33.1	341	187	10	1047	115	8	337	9.1e-29	132.1

EHE22_16240	ENOG4107SMH_27	29.4	683	450	10	2184	157	12	669	4.7e-67	260.4

EHE22_16245	ENOG4105NJ8_4	31.6	209	141	1	651	25	27	233	5.1e-17	92.8

EHE22_16250	ENOG4108S8U_3	63.2	383	128	2	1	1110	11	393	1.8e-136	490.0

EHE22_16255	ENOG4105DIY_2	65.4	635	216	3	1	1896	1	634	6.4e-238	827.8

EHE22_16260	ENOG41090UE_3	56.9	360	153	2	1	1077	1	359	1.6e-119	433.7

EHE22_16265	ENOG4108QAK_2	47.4	643	329	4	13	1926	6	644	2.0e-162	577.0

EHE22_16270	ENOG4108ZZ8_3	59.1	279	114	0	67	903	17	295	1.7e-93	347.1

EHE22_16275	ENOG4108UV1_93	78.2	156	32	1	495	28	1	154	9.9e-66	253.8

EHE22_16295	ENOG4105P6V_3	47.1	136	70	2	259	666	74	207	1.1e-24	117.9

EHE22_16300	ENOG41086WK_1	44.4	302	162	6	918	22	1	299	2.3e-60	236.9

EHE22_16305	ENOG4108TFC_19	54.2	236	107	1	714	7	1	235	4.3e-70	268.9

EHE22_16315	ENOG4108TR7_5	49.3	527	248	5	1572	13	1	515	1.4e-132	477.6

EHE22_16320	ENOG4107RTZ_115	94.4	1264	66	2	3786	4	4	1265	0.0e+00	2333.9

EHE22_16325	ENOG4105MEE_42	74.1	162	42	0	489	4	1	162	3.7e-65	251.9

EHE22_16330	ENOG4105DYA_225	93.3	165	11	0	498	4	53	217	2.4e-88	328.9

EHE22_16335	ENOG4105ENM_134	83.6	281	46	0	846	4	1	281	3.0e-131	472.2

EHE22_16340	ENOG4108EWA_34	89.7	252	26	0	759	4	16	267	4.9e-125	451.4

